"","study","Pearson's r","p-value","t-value","df","lower ci","upper ci"
"32","EMBARC","0.999995597796959","1.33462434418527e-92","2022.08675225567","36","0.999991460591027","0.999997730595612"
"33","FemaleASD","0.999999242948119","0","12217.325750899","226","0.999999016851473","0.999999417048879"
"34","FinnBrain","0.888497028646237","3.43120860311639e-85","30.3684174044677","246","0.8590021258179","0.912113676148525"
"35","Frankfurt","0.999995433203838","0","6010.83312258122","330","0.999994331503165","0.999996320783877"
"36","GOBS","0.999998262762813","0","7993.39666347924","222","0.99999773861229","0.999998665424399"
"37","GOSH","0.999968508525804","4.57630235403685e-94","835.804272817109","44","0.999942746580004","0.999982678638254"
"38","GUSTO","0.999989041920385","0","5344.42976114469","626","0.999987181707693","0.999990632177066"
"39","HABS","0.999999837328685","0","29073.3989332688","275","0.99999979386255","0.999999871629553"
"40","Harvard_Fetal3","0.971437152888812","8.91348380982989e-62","40.1105031327855","96","0.957596222404832","0.980804593151041"
"41","HBN","0.999980595094692","0","3494.71761022227","474","0.999976762613962","0.999983795499615"
"42","HCP","0.999997136368924","0","13927.8014020474","1111","0.999996778822648","0.999997454228103"
"43","HCP_lifespanA","0.999987250458026","0","5190.53263944137","687","0.999985192143811","0.999989022665049"
"44","HCP_lifespanD","0.999994068636355","0","7419.29065877048","653","0.999993084468122","0.999994912745275"
"45","IBIS","0.999954980096102","4.69951117635269e-200","1043.23246555912","98","0.999932972560533","0.999969761870061"
"46","ICBM","0.999998560883797","0","14268.7329545778","586","0.999998307683796","0.999998776200688"
"47","IMAGEN","0.999823920358969","0","2449.19193072476","2113","0.999808243748212","0.9998383154665"
"48","IMAP","0.999989294080123","0","3146.57038668651","212","0.999985977626514","0.999991826157278"
"49","IXI","0.99998014673335","0","3674.04898634321","536","0.999976480261805","0.999983241646621"
"50","KNE96","0.999997660764781","2.56496269911346e-252","4482.40630165677","94","0.999996487594764","0.99999844208741"
"51","LA5c","0.999999147233658","0","8492.23991298311","123","0.999998783930755","0.99999940199919"
"52","LATAM","0.999999857738051","3.94454002924439e-234","15796.8230129115","71","0.999999772718114","0.999999910954356"
"53","LIFE","0.999927943718833","0","4157.31059907512","2491","0.999922055239222","0.999933387357292"
"54","Maastricht","0.999999661599511","0","14433.7426309396","141","0.999999528686071","0.999999757030544"
"55","MCIC","0.999996241318932","2.987524127156e-227","3421.42776751826","88","0.999994277947752","0.999997531011951"
"56","MCSA","0.999996062754285","0","11257.7793121157","998","0.999995542328583","0.99999652242126"
"57","MRi-Share","0.999999332080027","0","31660.1419718904","1339","0.999999256526887","0.999999399955317"
"58","Narratives","0.999999149419571","0","10257.7839524325","179","0.999998858920696","0.999999365962527"
"59","NHGRI","0.999963558842023","0","2365.95853657179","408","0.999955743663565","0.999969993967298"
"60","NIH","0.999997170750434","0","16095.9063608648","1466","0.999996865638955","0.999997446161157"
"61","NIHPD","0.995967568591907","0","252.423761339425","517","0.995209881994064","0.996605610475398"
"62","NIHPD_older","0.999963114014403","0","2388.819519634","421","0.999955338997357","0.999969535502293"
"63","NKI","0.999985930594865","0","4339.9076331659","530","0.999983316287653","0.999988135247348"
"64","NSPN","0.999999095312088","0","12940.6659935801","303","0.999998866396894","0.999999278001097"
"65","NTB_Yale","0.999970548687392","2.24949992273859e-124","992.28648921274","58","0.999950501834938","0.999982476597021"
"66","OASIS3","0.999995730446579","0","7826.06102356475","523","0.999994931325096","0.99999640357971"
"67","OHSU_ADHD","0.999995454450647","0","4919.28147746735","220","0.999994075880397","0.999996512221732"
"68","OpenPain_BN1","0.999971304832087","4.50110199398768e-80","802.919734324824","37","0.999944851097556","0.999985069377618"
"69","OpenPain_BN2","0.999982535563137","7.5949363681985e-35","655.31128944774","15","0.99995021093963","0.999993874088963"
"70","OpenPain_PLOA","0.999995315278681","1.03202809079776e-46","1386.0466524446","18","0.999987877964747","0.999998189531435"
"71","OpenPain_RS","0.999989507319239","4.38966591988874e-74","1215.39991469751","31","0.999978536579462","0.999994870526779"
"72","OpenPain_SAB","0.999993412294726","2.21892254979475e-45","1168.83182591303","18","0.999982953889999","0.999997454098235"
"73","Oslo","0.999988631510708","0","3496.65124952771","278","0.999985612359109","0.999991017116092"
"74","Oulu","0.999999907297324","0","23224.0970301619","100","0.999999862535611","0.999999937483547"
"75","PCDC","0.999977354220676","2.82229181371002e-110","1050.67643677368","50","0.999960355401805","0.99998706432968"
"76","PING","0.999833241782466","0","1515.3098381597","766","0.999807853603407","0.999855275680617"
"77","Pixar","0.999973017689021","0","1683.76840925782","153","0.999962918262582","0.999980366505046"
"78","PNC","0.999988820140105","0","7712.39031499686","1330","0.999987551005921","0.999989959890863"
"79","POND","0.999994453631872","1.07395273538298e-234","2911.00382861189","94","0.999991672031687","0.999996306159682"
"80","PPMI","0.999971708879541","1.43611895042725e-220","1349.17823162404","103","0.999958292874592","0.999980809375811"
"81","PREVENTAD","0.999998476889674","0","11154.2000655188","379","0.999998136654217","0.999998755000273"
"82","Psyscan_Dublin","0.999999868073359","0","24001.6169514418","152","0.999999818501896","0.999999904105673"
"83","RDB","0.999949366419057","0","1276.41282705529","165","0.999931234587473","0.99996271739969"
"84","SALD","0.999998216829841","0","11492.0757798358","471","0.999997863422209","0.999998511780973"
"85","SCZIowa","0.999999683327321","0","12875.8008490472","105","0.99999953490152","0.999999784386346"
"86","SLIM","0.999993249070004","0","7388.13367946311","737","0.999992199637478","0.999994157316091"
"87","STRIVE","0.999991137838761","4.5126940733538e-68","1256.87274150578","28","0.999981156346636","0.999995832140791"
"88","SWU_MDD","0.99999190833962","0","3497.80938316641","198","0.999989301367292","0.999993880064052"
"89","SYS_Adolescents","0.999956747005523","0","3418.52217441262","1011","0.999951069180677","0.999961766000635"
"90","SYS_Adults","0.997994686019275","0","386.202871725056","600","0.99764676632888","0.998291210657935"
"91","TOPSY","0.999997629360355","2.02685011240421e-73","2386.34560239509","27","0.999994886318663","0.999998901001485"
"92","UCSD","0.99097825068141","3.2486484161082e-227","118.766877971383","258","0.988493548459101","0.992928314626752"
"93","UKB","0.997891266570631","0","2619.40404461128","29029","0.997842240396552","0.997939179976443"
"94","VETSA","0.999999676022347","0","28895.2197627405","541","0.999999616491666","0.999999726312287"
"95","VITA","0.99999134868991","1.00701801383052e-120","1699.91124598424","50","0.999984854594362","0.999995058233246"
"96","WAYNE","0.999999697003946","0","17984.3378627104","196","0.999999598811414","0.999999771163461"
