Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,ABNORMAL VENTRICAL,38783,73,0.499,0.46,0.79232,0.261,-0.199,0.031,0.009,1,Female,0.039
CN,AD,38783,529,0.499,0.379,0.0002,0.316,0.145,0.231,0.066,0.0031,Female,0.12
CN,ADHD,38783,329,0.499,0.507,0.86411,0.116,-0.101,0.008,0.002,1,Female,-0.008
CN,Anorexia/Bulima,38783,105,0.499,0.493,0.62794,0.238,-0.145,0.047,0.013,0.95,Female,0.005
CN,Anxiety/Phobia,38783,1039,0.499,0.479,0.11639,0.11,-0.013,0.049,0.014,0.3026,Female,0.02
CN,ASD,38783,381,0.499,0.506,0.69333,0.121,-0.081,0.02,0.006,0.9974,Female,-0.007
CN,Attention & Learning difficulty,38783,99,0.499,0.205,0.0002,0.839,0.445,0.642,0.184,0.0031,Female,0.294
CN,BD,38783,111,0.499,0.497,0.88191,0.202,-0.171,0.015,0.004,1,Female,0.001
CN,Chronic Pain,38783,63,0.499,0.48,0.91211,0.26,-0.234,0.013,0.004,1,Female,0.018
CN,EMCI,38783,139,0.499,0.408,0.0158,0.371,0.038,0.205,0.058,0.0668,Female,0.09
CN,LMCI,38783,216,0.499,0.477,0.27417,0.209,-0.059,0.075,0.021,0.5499,Female,0.022
CN,MCI,38783,253,0.499,0.466,0.38516,0.177,-0.07,0.053,0.015,0.7191,Female,0.033
CN,MCI-Risk,38783,0,0.499,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
CN,MDD,38783,3461,0.499,0.492,0.25457,0.055,-0.014,0.02,0.006,0.5195,Female,0.007
CN,ND,38783,100,0.499,0.306,0.0002,0.652,0.26,0.456,0.13,0.0031,Female,0.193
CN,OCD,38783,74,0.499,0.495,0.9531,0.22,-0.236,-0.008,-0.002,1,Female,0.003
CN,Other,38783,117,0.499,0.519,0.9857,0.18,-0.183,-0.002,0,1,Female,-0.02
CN,OTHER,38783,56,0.499,0.276,0.0012,0.712,0.188,0.45,0.129,0.01,Female,0.223
CN,Other Psychiatric,38783,111,0.499,0.394,0.0206,0.407,0.034,0.221,0.063,0.0803,Female,0.105
CN,PD,38783,67,0.499,0.56,0.48935,0.152,-0.328,-0.088,-0.025,0.8298,Female,-0.062
CN,SAD,38783,150,0.499,0.47,0.55254,0.211,-0.11,0.051,0.015,0.8776,Female,0.029
CN,Schizoaffective Disorder,38783,53,0.499,0.311,0.0004,0.796,0.257,0.527,0.151,0.005,Female,0.188
CN,SCZ,38783,315,0.499,0.366,0.0002,0.444,0.222,0.333,0.095,0.0031,Female,0.133
CN,SCZ-Relative,38783,138,0.499,0.391,0.0048,0.399,0.065,0.232,0.066,0.0263,Female,0.108
CN,SMC,38783,59,0.499,0.467,0.33377,0.381,-0.129,0.126,0.036,0.6367,Female,0.032
CN,SPECIFIC PHOBIA,38783,159,0.499,0.416,0.30437,0.237,-0.075,0.081,0.023,0.5933,Female,0.083
ABNORMAL VENTRICAL,AD,73,529,0.46,0.379,0.14759,0.427,-0.064,0.181,0.057,0.3597,Female,0.081
ABNORMAL VENTRICAL,ADHD,73,329,0.46,0.507,0.88571,0.232,-0.277,-0.022,-0.007,1,Female,-0.047
ABNORMAL VENTRICAL,Anorexia/Bulima,73,105,0.46,0.493,0.90131,0.317,-0.285,0.016,0.005,1,Female,-0.033
ABNORMAL VENTRICAL,Anxiety/Phobia,73,1039,0.46,0.479,0.87551,0.256,-0.22,0.018,0.005,1,Female,-0.019
ABNORMAL VENTRICAL,ASD,73,381,0.46,0.506,0.93251,0.241,-0.261,-0.01,-0.003,1,Female,-0.046
ABNORMAL VENTRICAL,Attention & Learning difficulty,73,99,0.46,0.205,0.0002,0.923,0.3,0.612,0.175,0.0031,Female,0.255
ABNORMAL VENTRICAL,BD,73,111,0.46,0.497,0.92091,0.281,-0.313,-0.016,-0.004,1,Female,-0.037
ABNORMAL VENTRICAL,Chronic Pain,73,63,0.46,0.48,0.93351,0.323,-0.357,-0.017,-0.005,1,Female,-0.021
ABNORMAL VENTRICAL,EMCI,73,139,0.46,0.408,0.21858,0.464,-0.106,0.179,0.05,0.4594,Female,0.052
ABNORMAL VENTRICAL,LMCI,73,216,0.46,0.477,0.72013,0.312,-0.221,0.045,0.013,1,Female,-0.017
ABNORMAL VENTRICAL,MCI,73,253,0.46,0.466,0.88091,0.282,-0.241,0.02,0.006,1,Female,-0.006
ABNORMAL VENTRICAL,MCI-Risk,73,0,0.46,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
ABNORMAL VENTRICAL,MDD,73,3461,0.46,0.492,0.94211,0.221,-0.242,-0.01,-0.003,1,Female,-0.032
ABNORMAL VENTRICAL,ND,73,100,0.46,0.306,0.0076,0.713,0.099,0.406,0.122,0.036,Female,0.154
ABNORMAL VENTRICAL,OCD,73,74,0.46,0.495,0.80572,0.286,-0.367,-0.04,-0.011,1,Female,-0.036
ABNORMAL VENTRICAL,Other,73,117,0.46,0.519,0.82612,0.261,-0.328,-0.034,-0.009,1,Female,-0.059
ABNORMAL VENTRICAL,OTHER,73,56,0.46,0.276,0.033,0.736,0.027,0.382,0.12,0.1206,Female,0.184
ABNORMAL VENTRICAL,Other Psychiatric,73,111,0.46,0.394,0.19098,0.494,-0.102,0.196,0.054,0.427,Female,0.066
ABNORMAL VENTRICAL,PD,73,67,0.46,0.56,0.45395,0.206,-0.464,-0.129,-0.034,0.8047,Female,-0.101
ABNORMAL VENTRICAL,SAD,73,150,0.46,0.47,0.88511,0.302,-0.261,0.02,0.006,1,Female,-0.01
ABNORMAL VENTRICAL,Schizoaffective Disorder,73,53,0.46,0.311,0.0032,0.886,0.16,0.523,0.142,0.0204,Female,0.149
ABNORMAL VENTRICAL,SCZ,73,315,0.46,0.366,0.0238,0.555,0.042,0.298,0.086,0.0918,Female,0.094
ABNORMAL VENTRICAL,SCZ-Relative,73,138,0.46,0.391,0.18038,0.484,-0.088,0.198,0.057,0.4103,Female,0.069
ABNORMAL VENTRICAL,SMC,73,59,0.46,0.467,0.53135,0.453,-0.24,0.106,0.027,0.8675,Female,-0.007
ABNORMAL VENTRICAL,SPECIFIC PHOBIA,73,159,0.46,0.416,0.75072,0.326,-0.231,0.048,0.014,1,Female,0.044
AD,ADHD,529,329,0.379,0.507,0.0044,-0.066,-0.342,-0.204,-0.064,0.0257,Female,-0.128
AD,Anorexia/Bulima,529,105,0.379,0.493,0.11879,0.043,-0.377,-0.167,-0.053,0.3066,Female,-0.114
AD,Anxiety/Phobia,529,1039,0.379,0.479,0.0012,-0.071,-0.281,-0.176,-0.052,0.01,Female,-0.1
AD,ASD,529,381,0.379,0.506,0.0046,-0.058,-0.322,-0.19,-0.06,0.026,Female,-0.127
AD,Attention & Learning difficulty,529,99,0.379,0.205,0.0006,0.587,0.155,0.371,0.118,0.0066,Female,0.174
AD,BD,529,111,0.379,0.497,0.06579,0.009,-0.402,-0.197,-0.062,0.1986,Female,-0.118
AD,Chronic Pain,529,63,0.379,0.48,0.15558,0.067,-0.457,-0.195,-0.062,0.3715,Female,-0.102
AD,EMCI,529,139,0.379,0.408,0.78912,0.163,-0.211,-0.024,-0.008,1,Female,-0.03
AD,LMCI,529,216,0.379,0.477,0.07759,0.015,-0.302,-0.144,-0.045,0.2288,Female,-0.098
AD,MCI,529,253,0.379,0.466,0.0354,-0.007,-0.308,-0.157,-0.051,0.1249,Female,-0.087
AD,MCI-Risk,529,0,0.379,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
AD,MDD,529,3461,0.379,0.492,0.0002,-0.115,-0.298,-0.206,-0.06,0.0031,Female,-0.113
AD,ND,529,100,0.379,0.306,0.05779,0.416,-0.013,0.201,0.064,0.1811,Female,0.073
AD,OCD,529,74,0.379,0.495,0.08499,0.027,-0.461,-0.217,-0.068,0.2373,Female,-0.117
AD,Other,529,117,0.379,0.519,0.0394,-0.011,-0.413,-0.212,-0.067,0.1324,Female,-0.14
AD,OTHER,529,56,0.379,0.276,0.17438,0.469,-0.083,0.193,0.063,0.4033,Female,0.103
AD,Other Psychiatric,529,111,0.379,0.394,0.92351,0.196,-0.214,-0.009,-0.003,1,Female,-0.015
AD,PD,529,67,0.379,0.56,0.026,-0.036,-0.546,-0.291,-0.091,0.0981,Female,-0.182
AD,SAD,529,150,0.379,0.47,0.08519,0.017,-0.347,-0.165,-0.052,0.2373,Female,-0.091
AD,Schizoaffective Disorder,529,53,0.379,0.311,0.06399,0.551,-0.016,0.267,0.084,0.197,Female,0.068
AD,SCZ,529,315,0.379,0.366,0.19678,0.234,-0.046,0.094,0.029,0.4299,Female,0.013
AD,SCZ-Relative,529,138,0.379,0.391,0.9925,0.188,-0.187,0.001,0,1,Female,-0.012
AD,SMC,529,59,0.379,0.467,0.45915,0.174,-0.366,-0.096,-0.03,0.8058,Female,-0.088
AD,SPECIFIC PHOBIA,529,159,0.379,0.416,0.13159,0.044,-0.312,-0.134,-0.043,0.3276,Female,-0.037
ADHD,Anorexia/Bulima,329,105,0.507,0.493,0.75692,0.258,-0.183,0.038,0.011,1,Female,0.014
ADHD,Anxiety/Phobia,329,1039,0.507,0.479,0.51935,0.165,-0.083,0.041,0.012,0.8558,Female,0.028
ADHD,ASD,329,381,0.507,0.506,0.87931,0.159,-0.137,0.011,0.003,1,Female,0.001
ADHD,Attention & Learning difficulty,329,99,0.507,0.205,0.0002,0.839,0.381,0.61,0.181,0.0031,Female,0.302
ADHD,BD,329,111,0.507,0.497,0.94431,0.223,-0.208,0.007,0.002,1,Female,0.01
ADHD,Chronic Pain,329,63,0.507,0.48,0.9701,0.275,-0.265,0.005,0.002,1,Female,0.026
ADHD,EMCI,329,139,0.507,0.408,0.05779,0.391,-0.007,0.192,0.056,0.1811,Female,0.099
ADHD,LMCI,329,216,0.507,0.477,0.45355,0.238,-0.106,0.066,0.019,0.8047,Female,0.03
ADHD,MCI,329,253,0.507,0.466,0.62654,0.206,-0.123,0.042,0.013,0.95,Female,0.041
ADHD,MCI-Risk,329,0,0.507,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
ADHD,MDD,329,3461,0.507,0.492,0.83812,0.126,-0.101,0.012,0.004,1,Female,0.015
