Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
PD,SCZ,136,718,0.558,0.338,0.0002,0.797,0.426,0.612,0.175,0.001,Male,0.22
PD,SCZ-Relative,136,66,0.558,0.443,0.15998,0.508,-0.085,0.211,0.063,0.2861,Male,0.115
PD,SMC,136,44,0.558,0.584,0.87471,0.315,-0.369,-0.027,-0.008,0.9754,Male,-0.026
PD,SPECIFIC PHOBIA,136,55,0.558,0.454,0.32057,0.476,-0.156,0.16,0.047,0.4812,Male,0.104
PD,Subacute Pain,136,30,0.558,0.434,0.06379,0.777,-0.024,0.377,0.11,0.1393,Male,0.124
SAD,Schizoaffective Disorder,155,56,0.49,0.35,0.10059,0.562,-0.054,0.254,0.075,0.1999,Male,0.14
SAD,Schizoaffective Disorder - Relative,155,25,0.49,0.383,0.34977,0.624,-0.228,0.198,0.058,0.5091,Male,0.107
SAD,SCZ,155,718,0.49,0.338,0.0006,0.543,0.194,0.368,0.106,0.0026,Male,0.151
SAD,SCZ-Relative,155,66,0.49,0.443,0.87691,0.269,-0.311,-0.021,-0.006,0.9755,Male,0.047
SAD,SMC,155,44,0.49,0.584,0.12319,0.069,-0.607,-0.269,-0.077,0.2329,Male,-0.095
SAD,SPECIFIC PHOBIA,155,55,0.49,0.454,0.62474,0.233,-0.386,-0.077,-0.023,0.7726,Male,0.036
SAD,Subacute Pain,155,30,0.49,0.434,0.49355,0.531,-0.256,0.138,0.04,0.6429,Male,0.056
Schizoaffective Disorder,Schizoaffective Disorder - Relative,56,25,0.35,0.383,0.81252,0.424,-0.533,-0.054,-0.017,0.9193,Male,-0.033
Schizoaffective Disorder,SCZ,56,718,0.35,0.338,0.45255,0.38,-0.165,0.108,0.031,0.6013,Male,0.012
Schizoaffective Disorder,SCZ-Relative,56,66,0.35,0.443,0.16458,0.103,-0.62,-0.258,-0.081,0.2899,Male,-0.093
Schizoaffective Disorder,SMC,56,44,0.35,0.584,0.0124,-0.117,-0.929,-0.523,-0.152,0.0339,Male,-0.235
Schizoaffective Disorder,SPECIFIC PHOBIA,56,55,0.35,0.454,0.09419,0.058,-0.699,-0.321,-0.098,0.1896,Male,-0.104
Schizoaffective Disorder,Subacute Pain,56,30,0.35,0.434,0.61794,0.338,-0.563,-0.113,-0.034,0.7662,Male,-0.084
Schizoaffective Disorder - Relative,SCZ,25,718,0.383,0.338,0.40936,0.565,-0.234,0.166,0.048,0.5682,Male,0.045
Schizoaffective Disorder - Relative,SCZ-Relative,25,66,0.383,0.443,0.38836,0.265,-0.67,-0.203,-0.065,0.5456,Male,-0.06
Schizoaffective Disorder - Relative,SMC,25,44,0.383,0.584,0.06299,0.032,-0.98,-0.474,-0.135,0.1388,Male,-0.201
Schizoaffective Disorder - Relative,SPECIFIC PHOBIA,25,55,0.383,0.454,0.27917,0.217,-0.747,-0.265,-0.081,0.4371,Male,-0.071
Schizoaffective Disorder - Relative,Subacute Pain,25,30,0.383,0.434,0.82132,0.486,-0.601,-0.058,-0.018,0.9247,Male,-0.051
SCZ,SCZ-Relative,718,66,0.338,0.443,0.003,-0.134,-0.64,-0.387,-0.112,0.01,Male,-0.105
SCZ,SMC,718,44,0.338,0.584,0.0002,-0.334,-0.947,-0.641,-0.183,0.001,Male,-0.246
SCZ,SPECIFIC PHOBIA,718,55,0.338,0.454,0.0034,-0.171,-0.722,-0.447,-0.129,0.0111,Male,-0.116
SCZ,Subacute Pain,718,30,0.338,0.434,0.22478,0.138,-0.594,-0.228,-0.065,0.3706,Male,-0.096
SCZ-Relative,SMC,66,44,0.443,0.584,0.22818,0.153,-0.621,-0.234,-0.071,0.3736,Male,-0.141
SCZ-Relative,SPECIFIC PHOBIA,66,55,0.443,0.454,0.75532,0.309,-0.414,-0.052,-0.016,0.8731,Male,-0.011
SCZ-Relative,Subacute Pain,66,30,0.443,0.434,0.50675,0.585,-0.291,0.147,0.047,0.6564,Male,0.009
SMC,SPECIFIC PHOBIA,44,55,0.584,0.454,0.35036,0.59,-0.214,0.188,0.055,0.5091,Male,0.131
SMC,Subacute Pain,44,30,0.584,0.434,0.08619,0.886,-0.067,0.41,0.118,0.175,Male,0.151
SPECIFIC PHOBIA,Subacute Pain,55,30,0.454,0.434,0.37156,0.659,-0.246,0.207,0.063,0.5349,Male,0.02
