Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
AD,PD,458,136,0.28,0.599,0.0002,-0.529,-0.921,-0.725,-0.216,0.0019,Male,-0.319
AD,SAD,458,155,0.28,0.489,0.0002,-0.172,-0.539,-0.356,-0.109,0.0019,Male,-0.208
AD,Schizoaffective Disorder,458,56,0.28,0.351,0.52435,0.186,-0.37,-0.092,-0.028,0.7456,Male,-0.07
AD,Schizoaffective Disorder - Relative,458,25,0.28,0.425,0.9957,0.411,-0.396,0.008,0.002,1,Male,-0.145
AD,SCZ,458,718,0.28,0.387,0.05639,0.001,-0.234,-0.116,-0.034,0.1639,Male,-0.107
AD,SCZ-Relative,458,66,0.28,0.405,0.014,-0.071,-0.59,-0.331,-0.102,0.0571,Male,-0.125
AD,SMC,458,44,0.28,0.508,0.002,-0.194,-0.817,-0.505,-0.154,0.0126,Male,-0.228
AD,SPECIFIC PHOBIA,458,55,0.28,0.445,0.0032,-0.13,-0.693,-0.412,-0.126,0.0184,Male,-0.164
AD,Subacute Pain,458,30,0.28,0.399,0.29517,0.176,-0.565,-0.194,-0.06,0.5291,Male,-0.119
ADHD,Anorexia/Bulima,885,3,0.362,0.688,0.24818,0.443,-1.828,-0.692,-0.189,0.473,Male,-0.326
ADHD,Anxiety/Phobia,885,589,0.362,0.54,0.0002,-0.386,-0.598,-0.492,-0.138,0.0019,Male,-0.178
ADHD,ASD,885,1628,0.362,0.467,0.0002,-0.201,-0.366,-0.283,-0.083,0.0019,Male,-0.106
ADHD,Attention & Learning difficulty,885,227,0.362,0.239,0.0038,0.365,0.072,0.219,0.06,0.0205,Male,0.122
ADHD,BD,885,97,0.362,0.493,0.0008,-0.202,-0.623,-0.413,-0.112,0.006,Male,-0.131
ADHD,BIPOLAR/PSYCH-RELATIVE,885,27,0.362,0.416,0.65593,0.298,-0.469,-0.085,-0.023,0.8247,Male,-0.054
ADHD,Chronic Pain,885,59,0.362,0.363,0.68093,0.21,-0.318,-0.054,-0.015,0.8426,Male,-0.002
ADHD,DEMENTIA - LBD,885,26,0.362,0.394,0.91571,0.37,-0.411,-0.021,-0.006,1,Male,-0.033
ADHD,EMCI,885,170,0.362,0.528,0.0002,-0.301,-0.632,-0.467,-0.129,0.0019,Male,-0.167
ADHD,LMCI,885,341,0.362,0.435,0.0004,-0.132,-0.383,-0.257,-0.072,0.0034,Male,-0.074
ADHD,MCI,885,197,0.362,0.47,0.0008,-0.1,-0.41,-0.255,-0.071,0.006,Male,-0.109
ADHD,MCI-Risk,885,0,0.362,  NA,1, NaN, NaN, NaN, NaN,1,Male,  NA
ADHD,MDD,885,1789,0.362,0.519,0.0002,-0.381,-0.544,-0.463,-0.131,0.0019,Male,-0.157
ADHD,ND,885,74,0.362,0.315,0.53135,0.313,-0.162,0.075,0.021,0.7493,Male,0.047
ADHD,OCD,885,84,0.362,0.412,0.17218,0.067,-0.382,-0.158,-0.043,0.369,Male,-0.051
ADHD,Other,885,39,0.362,0.579,0.0012,-0.23,-0.874,-0.552,-0.151,0.0085,Male,-0.217
ADHD,OTHER,885,43,0.362,0.401,0.31337,0.145,-0.468,-0.161,-0.044,0.5407,Male,-0.04
ADHD,Other Psychiatric,885,142,0.362,0.313,0.91511,0.166,-0.189,-0.011,-0.003,1,Male,0.048
ADHD,PD,885,136,0.362,0.599,0.0002,-0.551,-0.918,-0.735,-0.199,0.0019,Male,-0.238
ADHD,SAD,885,155,0.362,0.489,0.0004,-0.161,-0.504,-0.333,-0.092,0.0034,Male,-0.127
ADHD,Schizoaffective Disorder,885,56,0.362,0.351,0.75332,0.229,-0.312,-0.042,-0.011,0.9005,Male,0.011
ADHD,Schizoaffective Disorder - Relative,885,25,0.362,0.425,0.74253,0.468,-0.328,0.07,0.019,0.8945,Male,-0.063
ADHD,SCZ,885,718,0.362,0.387,0.22398,0.036,-0.161,-0.062,-0.017,0.4394,Male,-0.026
ADHD,SCZ-Relative,885,66,0.362,0.405,0.0202,-0.059,-0.56,-0.31,-0.085,0.0783,Male,-0.044
ADHD,SMC,885,44,0.362,0.508,0.0016,-0.2,-0.808,-0.504,-0.138,0.0102,Male,-0.147
ADHD,SPECIFIC PHOBIA,885,55,0.362,0.445,0.0048,-0.126,-0.673,-0.4,-0.109,0.024,Male,-0.083
ADHD,Subacute Pain,885,30,0.362,0.399,0.38656,0.207,-0.522,-0.158,-0.043,0.622,Male,-0.038
Anorexia/Bulima,Anxiety/Phobia,3,589,0.688,0.54,0.79512,1.312,-0.962,0.175,0.051,0.925,Male,0.148
Anorexia/Bulima,ASD,3,1628,0.688,0.467,0.55774,1.483,-0.784,0.35,0.106,0.7628,Male,0.221
Anorexia/Bulima,Attention & Learning difficulty,3,227,0.688,0.239,0.15538,2.038,-0.258,0.89,0.249,0.349,Male,0.449
Anorexia/Bulima,BD,3,97,0.688,0.493,0.64154,1.452,-0.876,0.288,0.077,0.8158,Male,0.195
Anorexia/Bulima,BIPOLAR/PSYCH-RELATIVE,3,27,0.688,0.416,0.38576,1.818,-0.693,0.562,0.166,0.622,Male,0.272
Anorexia/Bulima,Chronic Pain,3,59,0.688,0.363,0.31937,1.793,-0.585,0.604,0.174,0.544,Male,0.325
Anorexia/Bulima,DEMENTIA - LBD,3,26,0.688,0.394,0.33437,1.867,-0.656,0.606,0.183,0.5654,Male,0.294
Anorexia/Bulima,EMCI,3,170,0.688,0.528,0.76072,1.352,-0.948,0.202,0.06,0.907,Male,0.16
Anorexia/Bulima,LMCI,3,341,0.688,0.435,0.51135,1.536,-0.746,0.395,0.117,0.7439,Male,0.253
Anorexia/Bulima,MCI,3,197,0.688,0.47,0.54095,1.527,-0.768,0.38,0.118,0.7509,Male,0.217
Anorexia/Bulima,MCI-Risk,3,0,0.688,  NA,1, NaN, NaN, NaN, NaN,1,Male,  NA
Anorexia/Bulima,MDD,3,1789,0.688,0.519,0.74813,1.332,-0.934,0.199,0.058,0.8989,Male,0.169
Anorexia/Bulima,ND,3,74,0.688,0.315,0.28797,1.821,-0.534,0.643,0.21,0.5231,Male,0.373
Anorexia/Bulima,OCD,3,84,0.688,0.412,0.34997,1.745,-0.598,0.574,0.146,0.5819,Male,0.275
Anorexia/Bulima,Other,3,39,0.688,0.579,0.84332,1.339,-1.084,0.127,0.038,0.9683,Male,0.109
Anorexia/Bulima,OTHER,3,43,0.688,0.401,0.48575,1.645,-0.769,0.438,0.144,0.7222,Male,0.287
Anorexia/Bulima,Other Psychiatric,3,142,0.688,0.313,0.29957,1.79,-0.521,0.635,0.186,0.5317,Male,0.375
Anorexia/Bulima,PD,3,136,0.688,0.599,0.93091,1.116,-1.193,-0.039,-0.01,1,Male,0.089
Anorexia/Bulima,SAD,3,155,0.688,0.489,0.59734,1.474,-0.83,0.322,0.097,0.7913,Male,0.199
Anorexia/Bulima,Schizoaffective Disorder,3,56,0.688,0.351,0.30997,1.818,-0.566,0.626,0.177,0.5399,Male,0.337
Anorexia/Bulima,Schizoaffective Disorder - Relative,3,25,0.688,0.425,0.27397,1.972,-0.57,0.701,0.208,0.5111,Male,0.263
