"Study","Sex","Sample size","Mean Age (in days)","Minimum age (in days)","Maximum age (in days)"
"dHCP","Female",221,281.6,205,316
"dHCP","Male",282,277.3,205,314
"DLBS","Female",196,20164.4,7840.6,32827
"DLBS","Male",117,20183,7793.1,32472.7
"EDSD","Female",85,25365.9,19638,30230.1
"EDSD","Male",77,25795,20733.7,31325.8
"EMBARC","Female",24,15282.1,6942.6,23751
"EMBARC","Male",14,12484.5,7216.6,22502.6
"FemaleASD","Female",117,4570.9,2923.2,6546.8
"FemaleASD","Male",111,4742,2923.2,6485.9
"FinnBrain","Female",120,1290,291,2266
"FinnBrain","Male",128,1370.7,294,2265
"Frankfurt","Female",160,10321.1,6844.4,23280.4
"Frankfurt","Male",172,10738.9,6844.4,27663.4
"GOBS","Female",150,13192.4,6844.4,27663.4
"GOBS","Male",74,12515.6,6844.4,25837.2
"GOSH","Female",21,5759.1,3338.1,10569.9
"GOSH","Male",25,6037.9,3959,9949
"GUSTO","Female",306,2291.7,1906.2,3128.1
"GUSTO","Male",322,2330.6,1795.2,3213.9
"HABS","Female",163,27092.3,23190.8,32978.1
"HABS","Male",114,27584.1,24133.9,33207
"Harvard_Fetal3","Female",36,189.8,141,261
"Harvard_Fetal3","Male",62,208.4,137,266
"HBN","Female",200,4390.1,2237.8,8156.3
"HBN","Male",276,4422.9,2397.5,8374.4
"HCP","Female",606,11068.6,8310,13420
"HCP","Male",507,10464,8310,13785
"HCP_lifespanA","Female",395,21389.5,13202.3,36504
"HCP_lifespanA","Male",294,21658.2,13141.4,36504
"HCP_lifespanD","Female",332,5051.1,2920.3,8000.5
"HCP_lifespanD","Male",323,5015.3,2920.3,8000.5
"IBIS","Female",37,772.8,452.7,1092.2
"IBIS","Male",63,728.2,452.7,1214
"ICBM","Female",282,11654.2,6574.4,29219.6
"ICBM","Male",306,10891.7,6574.4,24106.2
"IMAGEN","Female",1077,5415.5,5028.2,8315.4
"IMAGEN","Male",1038,5421.9,4662.9,8680.6
"IMAP","Female",114,17531.8,6939.7,30680.6
"IMAP","Male",100,16797.6,6939.7,30680.6
"IXI","Female",312,18296.1,7297.9,31527.6
"IXI","Male",226,16897.2,7330.9,30611.6
"KNE96","Female",48,25875.6,22180,33495
"KNE96","Male",48,25655.1,22180,33130
"LA5c","Female",59,11534.5,7950.1,18542.2
"LA5c","Male",66,12028.7,7950.1,18177
"LATAM","Female",22,9012.7,5758.7,11237.4
"LATAM","Male",51,8401.3,6489.2,11967.8
"LIFE","Female",1149,21303.7,6939.7,29950.1
"LIFE","Male",1344,21718.5,7304.9,28854.4
"Maastricht","Female",74,10068.9,5843.9,18262.2
"Maastricht","Male",69,11333.2,6209.2,17166.5
"MCIC","Female",28,11583.5,6939.7,21914.7
"MCIC","Male",62,11941.2,6574.4,21184.2
"MCSA","Female",500,26636.3,18532.2,32776.8
"MCSA","Male",500,26437.6,18532.2,32776.8
"MRi-Share","Female",929,7998.7,6627,12740
"MRi-Share","Male",412,8109.3,6604,11395
"Narratives","Female",100,8158.3,6854.4,11967.8
"Narratives","Male",81,8482.2,1010.5,18542.2
"NHGRI","Female",176,8926.9,1918.3,28318.5
"NHGRI","Male",234,7808.2,1979.2,28379.4
"NIH","Female",706,5116.5,2141.5,9660.5
"NIH","Male",762,5395.6,2178,9697
"NIHPD","Female",260,3580.1,288,7652
"NIHPD","Male",259,3465.5,294,7590
"NIHPD_older","Female",218,4161.7,1748,7652
"NIHPD_older","Male",205,4215.4,1753,7590
"NKI","Female",338,16889.7,2470,31305
"NKI","Male",194,13903.5,2470,30940
