Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
Attention & Learning difficulty,MCI,227,197,0.278,0.74,0.0002,-0.83,-1.238,-1.034,-0.307,0.0003,Male,-0.462
Attention & Learning difficulty,MDD,227,1746,0.278,0.576,0.0002,-0.546,-0.826,-0.686,-0.194,0.0003,Male,-0.299
Attention & Learning difficulty,Other Psychiatric,227,142,0.278,0.41,0.0004,-0.162,-0.586,-0.374,-0.116,0.0006,Male,-0.133
Attention & Learning difficulty,SAD,227,155,0.278,0.582,0.0002,-0.479,-0.901,-0.69,-0.207,0.0003,Male,-0.305
Attention & Learning difficulty,SCZ,227,709,0.278,0.601,0.0002,-0.565,-0.871,-0.718,-0.213,0.0003,Male,-0.324
EMCI,LMCI,170,341,0.611,0.732,0.0036,-0.092,-0.462,-0.277,-0.077,0.0051,Male,-0.122
EMCI,MCI,170,197,0.611,0.74,0.0084,-0.066,-0.479,-0.273,-0.077,0.0109,Male,-0.129
EMCI,MDD,170,1746,0.611,0.576,0.10619,0.288,-0.027,0.13,0.036,0.12,Male,0.035
EMCI,Other Psychiatric,170,142,0.611,0.41,0.0006,0.612,0.16,0.386,0.114,0.0009,Male,0.2
EMCI,SAD,170,155,0.611,0.582,0.44256,0.302,-0.136,0.083,0.023,0.4729,Male,0.028
EMCI,SCZ,170,709,0.611,0.601,0.50695,0.225,-0.11,0.057,0.017,0.5344,Male,0.009
LMCI,MCI,341,197,0.732,0.74,0.9967,0.177,-0.174,0.002,0,0.9967,Male,-0.007
LMCI,MDD,341,1746,0.732,0.576,0.0002,0.524,0.29,0.407,0.113,0.0003,Male,0.156
LMCI,Other Psychiatric,341,142,0.732,0.41,0.0002,0.865,0.463,0.664,0.191,0.0003,Male,0.322
LMCI,SAD,341,155,0.732,0.582,0.0004,0.551,0.168,0.36,0.1,0.0006,Male,0.15
LMCI,SCZ,341,709,0.732,0.601,0.0002,0.455,0.195,0.325,0.094,0.0003,Male,0.131
MCI,MDD,197,1746,0.74,0.576,0.0002,0.552,0.257,0.405,0.113,0.0003,Male,0.164
MCI,Other Psychiatric,197,142,0.74,0.41,0.0002,0.869,0.425,0.647,0.19,0.0003,Male,0.329
MCI,SAD,197,155,0.74,0.582,0.0012,0.567,0.141,0.354,0.1,0.0018,Male,0.157
MCI,SCZ,197,709,0.74,0.601,0.0002,0.479,0.162,0.32,0.093,0.0003,Male,0.138
MDD,Other Psychiatric,1746,142,0.576,0.41,0.0018,0.447,0.104,0.276,0.078,0.0026,Male,0.166
MDD,SAD,1746,155,0.576,0.582,0.58754,0.118,-0.211,-0.046,-0.013,0.611,Male,-0.006
MDD,SCZ,1746,709,0.576,0.601,0.10419,0.018,-0.157,-0.07,-0.02,0.1195,Male,-0.025
Other Psychiatric,SAD,142,155,0.41,0.582,0.0122,-0.074,-0.534,-0.304,-0.091,0.0153,Male,-0.172
Other Psychiatric,SCZ,142,709,0.41,0.601,0.0008,-0.147,-0.509,-0.328,-0.097,0.0012,Male,-0.191
SAD,SCZ,155,709,0.582,0.601,0.78432,0.151,-0.197,-0.023,-0.007,0.805,Male,-0.019
