Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
AD,SAD,529,150,0.379,0.47,0.08519,0.017,-0.347,-0.165,-0.052,0.2871,Female,-0.091
AD,Schizoaffective Disorder,529,53,0.379,0.311,0.06399,0.551,-0.016,0.267,0.084,0.24,Female,0.068
AD,Schizoaffective Disorder - Relative,529,48,0.379,0.366,0.88311,0.319,-0.273,0.023,0.007,1,Female,0.013
AD,SCZ,529,315,0.379,0.366,0.19678,0.234,-0.046,0.094,0.029,0.4956,Female,0.013
AD,SCZ-Relative,529,138,0.379,0.391,0.9925,0.188,-0.187,0.001,0,1,Female,-0.012
AD,SMC,529,59,0.379,0.467,0.45915,0.174,-0.366,-0.096,-0.03,0.8859,Female,-0.088
AD,SPECIFIC PHOBIA,529,159,0.379,0.416,0.13159,0.044,-0.312,-0.134,-0.043,0.3922,Female,-0.037
AD,Subacute Pain,529,28,0.379,0.43,0.48315,0.25,-0.512,-0.131,-0.042,0.9023,Female,-0.052
ADHD,Anorexia/Bulima,329,105,0.507,0.493,0.75692,0.258,-0.183,0.038,0.011,1,Female,0.014
ADHD,Anxiety/Phobia,329,1039,0.507,0.479,0.51935,0.165,-0.083,0.041,0.012,0.9155,Female,0.028
ADHD,ASD,329,381,0.507,0.506,0.87931,0.159,-0.137,0.011,0.003,1,Female,0.001
ADHD,Attention & Learning difficulty,329,99,0.507,0.205,0.0002,0.839,0.381,0.61,0.181,0.004,Female,0.302
ADHD,BD,329,111,0.507,0.497,0.94431,0.223,-0.208,0.007,0.002,1,Female,0.01
ADHD,BIPOLAR/PSYCH-RELATIVE,329,47,0.507,0.515,0.9981,0.308,-0.305,0.001,0,1,Female,-0.008
ADHD,Chronic Pain,329,63,0.507,0.48,0.9701,0.275,-0.265,0.005,0.002,1,Female,0.026
ADHD,DEMENTIA - LBD,329,21,0.507,0.479,0.82592,0.489,-0.397,0.046,0.014,1,Female,0.028
ADHD,EMCI,329,139,0.507,0.408,0.05779,0.391,-0.007,0.192,0.056,0.2221,Female,0.099
ADHD,LMCI,329,216,0.507,0.477,0.45355,0.238,-0.106,0.066,0.019,0.8832,Female,0.03
ADHD,MCI,329,253,0.507,0.466,0.62654,0.206,-0.123,0.042,0.013,1,Female,0.041
ADHD,MCI-Risk,329,0,0.507,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
ADHD,MDD,329,3461,0.507,0.492,0.83812,0.126,-0.101,0.012,0.004,1,Female,0.015
ADHD,ND,329,100,0.507,0.306,0.0004,0.65,0.197,0.424,0.128,0.0066,Female,0.201
ADHD,OCD,329,74,0.507,0.495,0.91791,0.238,-0.268,-0.015,-0.005,1,Female,0.012
ADHD,Other,329,117,0.507,0.519,0.92631,0.202,-0.221,-0.009,-0.003,1,Female,-0.012
ADHD,OTHER,329,56,0.507,0.276,0.006,0.696,0.125,0.411,0.126,0.0399,Female,0.231
ADHD,Other Psychiatric,329,111,0.507,0.394,0.05419,0.423,-0.009,0.207,0.061,0.2144,Female,0.113
