Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
MCI-Risk,MDD,0,1746,  NA,0.576,1, NaN, NaN, NaN, NaN,1,Male,  NA
MCI-Risk,ND,0,74,  NA,0.824,1, NaN, NaN, NaN, NaN,1,Male,  NA
MCI-Risk,OCD,0,84,  NA,0.613,1, NaN, NaN, NaN, NaN,1,Male,  NA
MCI-Risk,Other,0,39,  NA,0.511,1, NaN, NaN, NaN, NaN,1,Male,  NA
MCI-Risk,OTHER,0,43,  NA,0.818,1, NaN, NaN, NaN, NaN,1,Male,  NA
MCI-Risk,Other Psychiatric,0,142,  NA,0.41,1, NaN, NaN, NaN, NaN,1,Male,  NA
MCI-Risk,PD,0,136,  NA,0.608,1, NaN, NaN, NaN, NaN,1,Male,  NA
MCI-Risk,SAD,0,155,  NA,0.582,1, NaN, NaN, NaN, NaN,1,Male,  NA
MCI-Risk,Schizoaffective Disorder,0,56,  NA,0.662,1, NaN, NaN, NaN, NaN,1,Male,  NA
MCI-Risk,SCZ,0,709,  NA,0.601,1, NaN, NaN, NaN, NaN,1,Male,  NA
MCI-Risk,SCZ-Relative,0,66,  NA,0.528,1, NaN, NaN, NaN, NaN,1,Male,  NA
MCI-Risk,SMC,0,44,  NA,0.462,1, NaN, NaN, NaN, NaN,1,Male,  NA
MCI-Risk,SPECIFIC PHOBIA,0,55,  NA,0.459,1, NaN, NaN, NaN, NaN,1,Male,  NA
MDD,ND,1746,74,0.576,0.824,0.0002,-0.41,-0.877,-0.643,-0.179,0.0007,Male,-0.248
MDD,OCD,1746,84,0.576,0.613,0.9519,0.215,-0.224,-0.004,-0.001,1,Male,-0.037
MDD,Other,1746,39,0.576,0.511,0.11399,0.576,-0.06,0.258,0.072,0.1971,Male,0.066
MDD,OTHER,1746,43,0.576,0.818,0.0002,-0.418,-1.025,-0.722,-0.201,0.0007,Male,-0.242
MDD,Other Psychiatric,1746,142,0.576,0.41,0.0018,0.447,0.104,0.276,0.078,0.0049,Male,0.166
MDD,PD,1746,136,0.576,0.608,0.59854,0.126,-0.223,-0.049,-0.014,0.7667,Male,-0.032
MDD,SAD,1746,155,0.576,0.582,0.58754,0.118,-0.211,-0.046,-0.013,0.761,Male,-0.006
MDD,Schizoaffective Disorder,1746,56,0.576,0.662,0.20658,0.093,-0.44,-0.174,-0.049,0.3266,Male,-0.086
MDD,SCZ,1746,709,0.576,0.601,0.10419,0.018,-0.157,-0.07,-0.02,0.1856,Male,-0.025
MDD,SCZ-Relative,1746,66,0.576,0.528,0.33797,0.366,-0.126,0.12,0.034,0.5069,Male,0.048
